r_A,initial_Li-Cl,initial_Li-O,initial_Zr-Cl,initial_Zr-O,initial_Cl-Cl,late_Li-Cl,late_Li-O,late_Zr-Cl,late_Zr-O,late_Cl-Cl
1.024999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.811891377147481275e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.734490540856631569e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.632802282535545157e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00,9.389846872046783588e+00,0.000000000000000000e+00,4.929669607824561695e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.867383854014254441e-01,0.000000000000000000e+00,1.258448244594518783e+01,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00,4.454212272674324424e+01,0.000000000000000000e+00,2.338461443154020003e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.162504799325767335e+00,0.000000000000000000e+00,4.215661939180699136e+01,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00,3.808394312951190841e+01,0.000000000000000000e+00,7.405211164071759278e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.678347831784729127e+00,0.000000000000000000e+00,5.286195674617370344e+01,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00,4.025174146836547173e+00,0.000000000000000000e+00,7.044054756963957331e+00,0.000000000000000000e+00,2.210862353160865032e-02,2.537128086438509289e+00,0.000000000000000000e+00,3.901782135672667096e+01,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00,1.150060885034804414e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.335946934178902923e-02,1.010959236506499437e+00,0.000000000000000000e+00,2.220199028377488304e+01,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00,3.655265173755821717e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.228998497276210911e-01,5.734015056472918648e-01,0.000000000000000000e+00,2.048983177386221044e+01,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.652775023161678236e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.026857533487354068e+01,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.821357218704668934e+00,1.775706013419932616e-01,6.365815425541117289e-02,6.469649891993559443e+00,0.000000000000000000e+00
2.275000000000000355e+00,1.007103626498791593e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.429712468202152031e+00,0.000000000000000000e+00,6.185903677722021099e-01,2.646521166118299906e+00,0.000000000000000000e+00
2.325000000000000178e+00,2.571346025048677930e+00,0.000000000000000000e+00,3.937373600855787803e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.370989807855528042e+00,0.000000000000000000e+00,2.220005392532206745e+00,1.684906902005530061e+00,0.000000000000000000e+00
2.375000000000000000e+00,1.293716778528226818e+01,0.000000000000000000e+00,7.007632550361228674e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.067554711186158301e+00,0.000000000000000000e+00,5.327661374861957455e+00,5.402434877187237694e-01,0.000000000000000000e+00
2.425000000000000266e+00,1.034099578888297977e+01,0.000000000000000000e+00,1.189214515721542575e+01,0.000000000000000000e+00,0.000000000000000000e+00,6.885469567543522906e+00,0.000000000000000000e+00,9.597841873443012872e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.475000000000000089e+00,4.538245589577142525e+00,0.000000000000000000e+00,9.431041615839999892e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.081315961376398072e+00,0.000000000000000000e+00,9.582678411402390850e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.525000000000000355e+00,3.815261130944793688e+00,0.000000000000000000e+00,8.107429903257687087e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.302702415754822596e+00,0.000000000000000000e+00,8.902106911975820935e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.575000000000000178e+00,3.668538759942050032e+00,0.000000000000000000e+00,6.878510174891344420e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.542184709899129480e+00,0.000000000000000000e+00,7.203328657033520876e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.625000000000000000e+00,2.269362906343199704e+00,0.000000000000000000e+00,3.530120076533866502e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.386318862059386259e+00,0.000000000000000000e+00,4.875065460034846865e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.675000000000000266e+00,7.284407388126294958e-01,0.000000000000000000e+00,2.549542585844203568e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.054342080059366804e+00,0.000000000000000000e+00,4.196044369963562559e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.725000000000000089e+00,4.679699715096727330e-01,0.000000000000000000e+00,2.047368625354818228e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.329621839917788595e+00,0.000000000000000000e+00,2.068946472986751495e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.775000000000000355e+00,4.512585668350462265e-01,0.000000000000000000e+00,7.897024919613309102e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.467025462167352190e-01,0.000000000000000000e+00,1.434712468806984775e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.825000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.809982629327928749e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.831988276808334204e-01,0.000000000000000000e+00,7.612114624309974653e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.875000000000000000e+00,2.102066950359236241e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.172827454928373703e-01,0.000000000000000000e+00,4.656548307713657686e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.925000000000000266e+00,2.030817383910925034e-01,0.000000000000000000e+00,3.553930421844119225e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.698850636143740434e-01,1.024964519654680828e-01,4.851382552715383656e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.975000000000000089e+00,1.963129844705159555e-01,0.000000000000000000e+00,3.435477228234028457e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.418746892156611650e-01,0.000000000000000000e+00,1.985919888593962457e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.025000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.322848888177150628e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.401893021865684652e-01,0.000000000000000000e+00,1.384849360237596083e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.075000000000000178e+00,1.837525520455930150e-01,0.000000000000000000e+00,3.215669660797877416e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.181851186952432964e-01,0.000000000000000000e+00,1.184363546271693518e-01,0.000000000000000000e+00,3.615717481667635874e-02
3.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.900115693537616557e-01,0.000000000000000000e+00,1.654155309260752979e-02,0.000000000000000000e+00,1.534284235390824536e-01
3.175000000000000266e+00,1.723601064777501857e-01,0.000000000000000000e+00,3.016301863360628110e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.522445250526346494e-01,8.719984812048232892e-02,1.109067462291571105e-01,0.000000000000000000e+00,2.492084817715697620e-01
3.225000000000000089e+00,1.670571435030326624e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.285701923167855198e-01,0.000000000000000000e+00,1.235342017553070632e-01,0.000000000000000000e+00,6.328158912232906275e-01
3.275000000000000355e+00,4.859855974037740056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.564184158665382740e-01,0.000000000000000000e+00,5.997670184944007415e-02,0.000000000000000000e+00,1.013702487355785831e+00
3.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.346145435158678128e-01,2.724673685758302044e-01,3.141124280712911943e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.577251420607909349e+00
3.375000000000000000e+00,3.050757492225231182e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.607992688043870189e+00,3.051807450051421400e-01,3.063386783937999125e-01,8.508369753344366404e-02,0.000000000000000000e+00,2.031121193361247190e+00
3.425000000000000266e+00,1.481168010273027635e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.303135739723919606e+00,2.955040467430530837e-01,2.223705563174931399e-01,2.727138659764174328e-02,0.000000000000000000e+00,2.291145798682451495e+00
3.475000000000000089e+00,7.194259223177663642e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.850520334670664457e+00,4.688519314912847347e-01,2.154274599105257815e-01,2.678785399343279472e-02,0.000000000000000000e+00,2.551021590585916599e+00
3.525000000000000355e+00,8.389941149733750603e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.157846941460973333e+00,4.261413997048184576e-01,2.788171946182488870e-01,6.454451118766459106e-02,0.000000000000000000e+00,2.805048000888394455e+00
3.575000000000000178e+00,5.437934949628588921e-01,1.291509550536789952e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.728592138441956028e+00,3.717326853307562073e-01,7.443921524923343691e-01,3.776008943389935063e-02,0.000000000000000000e+00,3.117422471033376663e+00
3.625000000000000000e+00,6.611199847997121237e-01,2.512255942238906137e+00,2.313919946798992100e-01,0.000000000000000000e+00,2.457260120494505262e+00,3.486700881415588649e-01,5.267372204986775497e-01,4.855130835065959993e-02,0.000000000000000000e+00,2.859054556802240743e+00
3.675000000000000266e+00,3.859517877573915290e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.112265066016808746e+00,4.267638096393793767e-01,5.158453969538521200e-01,1.208417562894571230e-02,0.000000000000000000e+00,2.772188594237804171e+00
3.725000000000000089e+00,3.756603581877387965e-01,1.189591134261172689e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.420183546554635523e+00,4.349189533574895905e-01,7.512586819473248134e-01,9.141488585660759170e-02,0.000000000000000000e+00,2.467480980011993896e+00
3.775000000000000355e+00,2.438500915807644553e-01,2.316575870017262506e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.537767324769725885e+00,4.613989826243324877e-01,6.707716595744144250e-01,5.523962152526392527e-02,0.000000000000000000e+00,2.285585707687499024e+00
3.825000000000000178e+00,3.562750255843285530e-01,1.128204247683707084e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.001538268639652784e+00,4.062753160166222011e-01,1.297520773783822357e+00,7.603212037106758803e-02,0.000000000000000000e+00,2.162720731075024272e+00
3.875000000000000000e+00,1.041420826491588736e+00,1.099277539074454912e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.322460604211330715e+00,5.653177344320274855e-01,6.926025782741336290e-01,7.472857402988311581e-02,0.000000000000000000e+00,2.080429120023835843e+00
3.925000000000000266e+00,1.127841298242738599e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.875036158328552860e+00,1.844469662966885748e+00,6.031380328099744670e-01,8.986788034531224545e-01,8.306156989557858528e-02,0.000000000000000000e+00,1.654068403387379815e+00
3.975000000000000089e+00,7.697527269885247048e-01,1.044664415198711893e+00,0.000000000000000000e+00,1.828162726597745813e+00,1.389642091200522289e+00,5.782569629425349245e-01,1.317503439722632841e+00,1.618837783101918781e-01,0.000000000000000000e+00,1.649933132581385298e+00
4.025000000000000355e+00,9.652467400109121520e-01,1.018871558900407148e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.036430127917321586e+00,7.275079722463259069e-01,1.396213500277980968e+00,1.665927912378973585e-01,0.000000000000000000e+00,1.386482567637126628e+00
4.075000000000000178e+00,8.370713938119391795e-01,1.988044560303355635e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.866743285315121126e+00,7.265730334231613741e-01,1.255162278937880682e+00,1.735607737841651788e-01,9.181911840672722647e-02,1.573381826832858765e+00
4.125000000000000000e+00,8.169019866051588918e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.697624440913845678e+00,9.867886829345502431e-01,7.566095942593995538e-01,1.429126546658256780e+00,2.260585225832993372e-01,0.000000000000000000e+00,1.371251569762939049e+00
4.175000000000000711e+00,6.977712605263394208e-01,2.840925846428667523e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.891952346530341833e-01,8.394130357806501852e-01,1.199395818544954695e+00,2.579719551359862528e-01,3.488690888326739237e-01,1.396683027504615371e+00
4.224999999999999645e+00,7.786901481952650528e-01,2.774083652945631862e+00,3.406769398354284606e-01,3.236430928436570653e+00,1.447123284256687237e+00,7.888158372542971586e-01,1.313075444592844310e+00,3.319323928642743393e-01,1.706889077844486180e-01,1.290292503887003894e+00
4.275000000000000355e+00,1.140872851066352167e+00,9.031910070941955304e-01,4.991318723415290592e-01,0.000000000000000000e+00,7.067353944658819609e-01,7.558146143586541577e-01,1.133192246771598022e+00,5.075319789348754496e-01,9.870547391458095454e-01,1.235890007101611454e+00
4.325000000000000178e+00,1.393308821709788647e+00,0.000000000000000000e+00,4.876580875984260488e-01,0.000000000000000000e+00,1.173831856874087309e+00,8.683669246055790714e-01,8.808507900224985532e-01,3.923163290096504663e-01,6.458444546330065483e-01,1.079002569282004442e+00
4.375000000000000000e+00,7.262101817445586471e-01,1.724749181643326690e+00,6.354339090264888856e-01,3.018311067875822040e+00,8.772361929923208068e-01,1.122203055383265813e+00,9.123708365179923341e-01,6.013801912156997442e-01,1.033392233208962452e+00,1.013969296193840908e+00
4.425000000000000711e+00,7.986279896391959010e-01,2.528988633857454094e+00,7.764438788158850580e-01,1.475243369750181666e+00,1.055413980408141050e+00,8.423354169168850714e-01,1.329351321689897558e+00,7.498947663570688649e-01,1.239630014419103476e+00,9.172592902362540768e-01
4.474999999999999645e+00,6.941168351084330279e-01,2.472791225073793342e+00,4.555141730399092648e-01,1.442461547959712709e+00,7.739709842801997253e-01,9.582272117484726959e-01,1.297586804813645411e+00,8.691771431951859084e-01,1.747784617923078931e+00,8.263587171464065184e-01
