r_A,Zr_Cl,Zr_O
2.675000000000000266e+00,2.770903554482352593e+00,0.000000000000000000e+00
2.725000000000000089e+00,1.661516488084540777e+00,0.000000000000000000e+00
2.775000000000000355e+00,1.063095566672969561e+00,0.000000000000000000e+00
2.825000000000000178e+00,5.929257149979121344e-01,0.000000000000000000e+00
2.875000000000000000e+00,3.547281488189490961e-01,0.000000000000000000e+00
2.925000000000000266e+00,2.137662587261859315e-01,0.000000000000000000e+00
2.975000000000000089e+00,1.148007709224782291e-01,0.000000000000000000e+00
3.025000000000000355e+00,9.200221330625957261e-02,0.000000000000000000e+00
3.075000000000000178e+00,4.912257187546670290e-02,0.000000000000000000e+00
3.125000000000000000e+00,4.756325821920958513e-02,0.000000000000000000e+00
3.175000000000000266e+00,2.591832896399046127e-02,0.000000000000000000e+00
3.225000000000000089e+00,3.907696460115832326e-02,0.000000000000000000e+00
3.275000000000000355e+00,2.435972538865588746e-02,0.000000000000000000e+00
3.325000000000000178e+00,2.625847135142280256e-02,0.000000000000000000e+00
3.375000000000000000e+00,2.803484185831121162e-02,0.000000000000000000e+00
3.425000000000000266e+00,2.722229547213590728e-02,4.702032854278019591e-02
3.475000000000000089e+00,2.884862102706450132e-02,2.283849164642605747e-02
3.525000000000000355e+00,1.869069220947345081e-02,0.000000000000000000e+00
3.575000000000000178e+00,3.861452285406874463e-02,0.000000000000000000e+00
3.625000000000000000e+00,3.755665781044135315e-02,1.259252644232445040e-01
3.675000000000000266e+00,6.018628928081155849e-02,1.837831333396209854e-01
3.725000000000000089e+00,5.858141795532472579e-02,3.577650882271616872e-01
3.775000000000000355e+00,5.907703083539175143e-02,3.289979475833024747e-01
3.825000000000000178e+00,1.488171980204447131e-01,2.450523194069991473e-01
3.875000000000000000e+00,1.662684832125073953e-01,2.387692753109844912e-01
3.925000000000000266e+00,2.035164334791325358e-01,1.790190850047925775e-01
3.975000000000000089e+00,3.105043118077424613e-01,1.745438439155947430e-01
4.025000000000000355e+00,4.605286910692186764e-01,2.893983797964158056e-01
4.075000000000000178e+00,5.769181312208347956e-01,4.982474769634479550e-01
4.125000000000000000e+00,6.909756181244262052e-01,6.969470123551311236e-01
4.175000000000000711e+00,9.693168386577792894e-01,1.044264016904514980e+00
4.224999999999999645e+00,1.040836231867645845e+00,7.261459023889119679e-01
4.275000000000000355e+00,1.347037190404396956e+00,1.418519116781988387e+00
4.325000000000000178e+00,1.404534597828146270e+00,1.518604534778828619e+00
4.375000000000000000e+00,1.443899711468491720e+00,1.945169516762964790e+00
4.425000000000000711e+00,1.464828215288313862e+00,2.478940056641759426e+00
4.474999999999999645e+00,1.474318375387849267e+00,1.941838214190778178e+00
4.525000000000000355e+00,1.348341351950588018e+00,1.508554362224422185e+00
4.575000000000000178e+00,1.368962513862599817e+00,1.054115005608487143e+00
4.625000000000000000e+00,1.244521932476999160e+00,5.415095431388473601e-01
4.675000000000000711e+00,1.277816891453052550e+00,3.154693469023907570e-01
4.724999999999999645e+00,1.373147412290722791e+00,2.964750094718607287e-01
4.775000000000000355e+00,1.213397521532879386e+00,1.935324483452230959e-01
4.825000000000001066e+00,1.198355818384122307e+00,3.672380733757794613e-01
4.875000000000000000e+00,1.187337380397575082e+00,2.669066024864922837e-01
4.925000000000000711e+00,1.165745318289153509e+00,3.297359704195705898e-01
