r_A,S_O_author_single,S_O_ours_late,Zr_O_author_single,Zr_O_ours_late,Zr_Cl_author_single,Zr_Cl_ours_late,Li_Cl_author_single,Li_Cl_ours_late
1.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00,9.246480501744388292e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,2.733060211749282686e+01,5.291111934807264561e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.475000000000000089e+00,1.678240776883488934e+02,8.739161868541185640e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.524999999999999911e+00,1.356485159990881755e+02,1.065015885933331106e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.575000000000000178e+00,4.710123392346945437e+00,6.821110363569691515e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00,2.232595902229770601e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00,5.685351018163097514e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00,2.015572362415668728e+00,0.000000000000000000e+00,1.929803325717131257e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00,8.910588549471845088e-01,0.000000000000000000e+00,2.571919876779371616e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00,3.065111133855216718e-01,0.000000000000000000e+00,1.143669591819727849e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.969158180876824815e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.756278697163773117e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.744402194781276672e-01,1.076335448479053447e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.055035428858103863e+00,3.858857196327953876e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.001958622369261476e-02
2.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.322961719135038194e+01,2.059855379186046775e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.111432758553621281e-01
2.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.229095356344904211e+01,1.639076521768597194e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.276934557851959529e-01
2.174999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.953652519629356377e+00,2.144562074071978408e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.503891014207707322e+00
2.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.835349381569183258e+00,2.294144880869640524e+00,0.000000000000000000e+00,2.899902237054320375e-01,0.000000000000000000e+00,2.983677190569222759e+00
2.275000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.693210111779521743e+00,2.650558060733111621e+00,0.000000000000000000e+00,1.954016058726503413e+00,0.000000000000000000e+00,4.265549251226310012e+00
2.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.701949541201039695e-01,1.853173775162861636e+00,1.053760321068405403e+01,6.905137952039962279e+00,2.701949541201039695e-01,5.813299899794324155e+00
2.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.178769884405662882e-01,9.162645750512968812e-01,1.268798621679387395e+01,1.313878152990222858e+01,2.071507953762265153e+00,6.385572254524150004e+00
2.425000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.642136872121709112e-01,1.937294375165297211e+01,1.475093284163358476e+01,7.699503285913360529e+00,7.036395695328703681e+00
2.475000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.270687808485187364e-01,5.007189227985231916e+00,1.164022835605412887e+01,8.345315379975387415e+00,6.614357947288032058e+00
2.525000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.200945876553971003e-01,6.185384396703923038e+00,7.600986610356171624e+00,9.163532439561366871e+00,5.954689971246768465e+00
2.575000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.736108490490722023e-02,7.819880695222778400e+00,4.917359198058228742e+00,5.947514894958169762e+00,5.196426549807126705e+00
2.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.481946457713633203e-02,7.524826543945688506e+00,2.847426479638491159e+00,3.179504173498178154e+00,4.366053935445682654e+00
2.675000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.675100996132095607e-02,3.061758473350036258e+00,1.961740730496872143e+00,2.551465394458363622e+00,3.000571617328168017e+00
2.725000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.718557008475387338e-01,9.834780986292867011e-01,1.160025980720885919e+00,1.278521528218072634e+00,2.839915456505577751e+00
2.775000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.491467952848355427e-01,2.845073045196030992e-01,8.410222067450454642e-01,9.483576817320102936e-01,2.204058196987015439e+00
2.825000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.758950365748835343e-01,2.745256344435284546e-01,6.516111582205907915e-01,6.405598137015663385e-01,1.774940823619279850e+00
2.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.242214855862529665e-01,2.650601876263379286e-01,4.786126691987544479e-01,4.417669793772298625e-01,1.536192276944390978e+00
2.925000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.847638052323320346e-01,0.000000000000000000e+00,3.430636160105734467e-01,2.560759716631608174e-01,1.155975227861715249e+00
2.975000000000000089e+00,0.000000000000000000e+00,4.325598767307464732e-02,0.000000000000000000e+00,7.065144653268863317e-01,0.000000000000000000e+00,2.306986009230649060e-01,4.950818192384286998e-01,1.149888338975900259e+00
3.025000000000000355e+00,0.000000000000000000e+00,2.789192514802669651e-02,0.000000000000000000e+00,1.011082286615966774e+00,0.000000000000000000e+00,2.440543450452334617e-01,4.788511066506969671e-01,9.239200205283846223e-01
3.075000000000000178e+00,0.000000000000000000e+00,5.398452984057162951e-02,0.000000000000000000e+00,1.309124848633861360e+00,0.000000000000000000e+00,1.518314901766077696e-01,3.089371053806490020e-01,8.097679476085744010e-01
3.125000000000000000e+00,0.000000000000000000e+00,1.568126444494314375e-01,0.000000000000000000e+00,1.502787842640385341e+00,0.000000000000000000e+00,8.494018241010868608e-02,1.495652075584180951e-01,7.709955018763716694e-01
3.175000000000000266e+00,0.000000000000000000e+00,2.278689816032361537e-01,0.000000000000000000e+00,1.886248792160121424e+00,0.000000000000000000e+00,1.107696438349064505e-01,2.897833623835847083e-01,6.424639342424568467e-01
3.225000000000000089e+00,0.000000000000000000e+00,3.680969834754636572e-01,0.000000000000000000e+00,2.049073208013416192e+00,0.000000000000000000e+00,1.012266704557524960e-01,7.723860804882740627e-01,5.368081009017179328e-01
3.275000000000000355e+00,0.000000000000000000e+00,5.830075469067493854e-01,0.000000000000000000e+00,2.320132074424815727e+00,0.000000000000000000e+00,8.923584901633919986e-02,2.042678891357038728e-01,5.770584903056595882e-01
3.325000000000000178e+00,2.642277330786337863e-01,7.502932069526440095e-01,0.000000000000000000e+00,2.366309345004493636e+00,0.000000000000000000e+00,1.067724948355685821e-01,0.000000000000000000e+00,5.454054465924985662e-01
3.375000000000000000e+00,0.000000000000000000e+00,8.962798450522542204e-01,0.000000000000000000e+00,2.229496114567484533e+00,0.000000000000000000e+00,8.402623547364884704e-02,1.923426732800977423e-01,4.929539147787398434e-01
3.425000000000000266e+00,4.980477850045065269e-01,1.055241859589999054e+00,0.000000000000000000e+00,2.094165546093553321e+00,0.000000000000000000e+00,7.343177888899471428e-02,1.867679193766899337e-01,4.895451925932985393e-01
3.475000000000000089e+00,2.419094151372738477e-01,9.511183046216123982e-01,0.000000000000000000e+00,1.939224543311842019e+00,0.000000000000000000e+00,7.397586813723650012e-02,4.838188302745476954e-01,4.782011476014220164e-01
3.525000000000000355e+00,0.000000000000000000e+00,1.201626447451757507e+00,0.000000000000000000e+00,2.018116213027955297e+00,0.000000000000000000e+00,7.445975849594224649e-02,5.289649254373925968e-01,5.135155758340850252e-01
3.575000000000000178e+00,2.285655170342453524e-01,9.086389755034854909e-01,0.000000000000000000e+00,2.036948912117704680e+00,0.000000000000000000e+00,8.487287133823773200e-02,5.142724133270520914e-01,4.268606176129015051e-01
3.625000000000000000e+00,2.223038451870254506e-01,7.672083573463135409e-01,2.223038451870254506e-01,1.995712878919840616e+00,0.000000000000000000e+00,8.983135829687841079e-02,3.334557677805382037e-01,4.515846660329564943e-01
3.675000000000000266e+00,2.162960038720449230e-01,9.827003123727486855e-01,4.325920077440898459e-01,1.937053500350130797e+00,0.000000000000000000e+00,1.110262372151903792e-01,4.325920077440898459e-01,4.086710433665521891e-01
3.725000000000000089e+00,2.105284568346782736e-01,9.013140515568842659e-01,1.684227654677426189e+00,2.115328896511054602e+00,0.000000000000000000e+00,7.357665726994980226e-02,3.684247994606869581e-01,4.874453544134169092e-01
3.775000000000000355e+00,4.099771165141448126e-01,8.955067833766463536e-01,2.767345536470477541e+00,2.037277932181869922e+00,0.000000000000000000e+00,8.283437746233979215e-02,2.562356978213404801e-01,4.634247603974144813e-01
3.825000000000000178e+00,1.996644833829377408e-01,8.460807459958133991e-01,1.497483625372032945e+00,2.023615804855966260e+00,0.000000000000000000e+00,1.112116444479033517e-01,9.484062960689542132e-01,4.906396078583966647e-01
3.875000000000000000e+00,1.945451653673453130e-01,7.054037986067456245e-01,2.626359732459161656e+00,1.886742690249365362e+00,0.000000000000000000e+00,1.423555858634094895e-01,4.863629134183632963e-01,5.141798772976874377e-01
3.925000000000000266e+00,1.896202377213304369e-01,5.715747518116355286e-01,2.939113684680621841e+00,1.851405174346383742e+00,0.000000000000000000e+00,1.656738411048219173e-01,8.058860103156543220e-01,5.446527526321016666e-01
3.975000000000000089e+00,7.395199271671802910e-01,7.672780142080043442e-01,2.495879754189233690e+00,1.611283829836807513e+00,0.000000000000000000e+00,1.716279768623167334e-01,8.319599180630778967e-01,5.411329152835392398e-01
4.025000000000000355e+00,7.212611151184061820e-01,6.695618680698300906e-01,2.524413902914421470e+00,1.571501090352129593e+00,0.000000000000000000e+00,1.969299611970088404e-01,9.466552135929080514e-01,6.104828797107270111e-01
4.075000000000000178e+00,1.759175658530724440e-01,7.531379672039677509e-01,1.407340526824579552e+00,1.667662641665927703e+00,0.000000000000000000e+00,2.901118189994875696e-01,7.476496548755579008e-01,6.666808026014708899e-01
4.125000000000000000e+00,3.433575919246017460e-01,7.349909531550841146e-01,1.888466755585309631e+00,1.796227890618802059e+00,8.583939798115043651e-02,3.449957535217742510e-01,7.296348828397787312e-01,6.918664839648624998e-01
4.175000000000000711e+00,1.340731208014239950e+00,7.833841281111487698e-01,1.759709710518690073e+00,2.233010832466357343e+00,4.189785025044499844e-02,3.916920640555741628e-01,6.703656040071199751e-01,7.010189744546023727e-01
4.224999999999999645e+00,2.127427354082674693e+00,8.149960372007631904e-01,1.636482580063596037e+00,2.677333473084961390e+00,8.182412900317979909e-02,4.343070987714592324e-01,6.955050965270282992e-01,6.505670121514860460e-01
4.275000000000000355e+00,3.196853161966376478e-01,7.262151275648686122e-01,1.438583922884869581e+00,2.649986931835268233e+00,3.996066452457970597e-02,5.062557379658947365e-01,9.190952840653332512e-01,7.174865803585610546e-01
4.325000000000000178e+00,4.685048337979459965e-01,9.210131878828917706e-01,1.405514501393837934e+00,2.251365570380403636e+00,1.171262084494864991e-01,6.617650312936335100e-01,6.246731117305946990e-01,8.220895491843593916e-01
4.375000000000000000e+00,4.578574602404407168e-01,7.734037765217479654e-01,1.373572380721322261e+00,1.516804820333600201e+00,1.144643650601101792e-01,6.700610305209970807e-01,6.867861903606611307e-01,7.834046874250462089e-01
4.425000000000000711e+00,1.044327588342328417e+00,8.277166492831318223e-01,2.014060348945919010e+00,9.776180897044878249e-01,3.356767248243198720e-01,8.440102841115409982e-01,8.951379328648529921e-01,8.293460127659735281e-01
4.474999999999999645e+00,7.293723388028433563e-01,8.475594772734014182e-01,2.698677653570520363e+00,6.850574722322604337e-01,3.646861694014216781e-01,8.332210650638890437e-01,8.023095726831276364e-01,8.682705171315862058e-01
4.525000000000000355e+00,4.280056979472830481e-01,7.853045253827874994e-01,2.068694206745201214e+00,5.297689258534673540e-01,4.636728394428899502e-01,9.037234617500318201e-01,9.630128203813869137e-01,8.398395618677020336e-01
4.575000000000000178e+00,8.374031933959094065e-01,6.280002925349225107e-01,1.953940784590455282e+00,4.603303115183175476e-01,5.931605953221024130e-01,9.221848955913314327e-01,6.978359944965911721e-01,8.718839012863491833e-01
4.625000000000000000e+00,5.462634827619651245e-01,7.039850626428169056e-01,8.876781594881933968e-01,6.085294609285366585e-01,8.193952241429477423e-01,9.948263491160156402e-01,8.876781594881933968e-01,9.202516602767342180e-01
4.675000000000000711e+00,6.683016232802525547e-01,5.605482534191191801e-01,4.009809739681515217e-01,5.576287312658949613e-01,9.356222725923535322e-01,1.059786541620522549e+00,6.683016232802525547e-01,9.050518674996197444e-01
4.724999999999999645e+00,1.308465281159429117e-01,4.858703399330203121e-01,3.925395843478287072e-01,6.144830769741140841e-01,8.832140647826146607e-01,1.190382332835900447e+00,1.210330385072471815e+00,8.888569159951141829e-01
4.775000000000000355e+00,8.968446088695269935e-01,5.708980933655328771e-01,7.687239504595946293e-01,5.904877338241548701e-01,8.007541150620777204e-01,1.036851684274167518e+00,9.929351026769763777e-01,9.417020020465782792e-01
4.825000000000001066e+00,2.509581798156015897e-01,5.536457786286794747e-01,6.901349944929043856e-01,5.618682406875212809e-01,1.097942036693257073e+00,1.145663046865287749e+00,1.003832719262406359e+00,9.250269816197004280e-01
4.875000000000000000e+00,6.145919097363566896e-01,6.067845821330459799e-01,5.531327187627210762e-01,4.644855429602517960e-01,1.321372605933166966e+00,1.218938939329215820e+00,1.014076651064988566e+00,9.343408609836282297e-01
4.925000000000000711e+00,4.817410704990876535e-01,4.998233561479364928e-01,6.623939719362454959e-01,4.998233561479362708e-01,9.032645071857893226e-01,1.187738133162070886e+00,8.731556902795963859e-01,1.054890346396434309e+00
4.974999999999999645e+00,4.721065734829438809e-01,4.795150734772394840e-01,9.442131469658877618e-01,4.588907692416592243e-01,1.091746451179307797e+00,1.189764550590032499e+00,8.556931644378358293e-01,1.004145812469810384e+00
