r_A,S_O_before_ramp,S_O_late_hold,Zr_O_before_ramp,Zr_O_late_hold,Zr_Cl_before_ramp,Zr_Cl_late_hold,Li_Cl_before_ramp,Li_Cl_late_hold
1.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000000e+00,6.749255840689341035e+00,9.246480501744388292e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,6.912379012218509899e+01,5.291111934807264561e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.475000000000000089e+00,7.624772100069492353e+01,8.739161868541185640e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.524999999999999911e+00,1.097388857221362173e+02,1.065015885933331106e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.575000000000000178e+00,6.687363101538912247e+01,6.821110363569691515e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000000e+00,1.932983465133998990e+01,2.232595902229770601e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,9.096561629060968102e+00,5.685351018163097514e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00,2.015572362415668728e+00,0.000000000000000000e+00,1.929803325717131257e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00,8.910588549471845088e-01,0.000000000000000000e+00,2.571919876779371616e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00,3.065111133855216718e-01,1.149416675195706361e+01,1.143669591819727849e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.633403099344831588e+01,1.969158180876824815e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.721841859964483845e+01,1.756278697163773117e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.472191342904482525e+01,1.076335448479053447e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.555990804970947217e+00,3.858857196327953876e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.001958622369261476e-02
2.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.927641378952647422e+00,2.059855379186046775e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.111432758553621281e-01
2.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.412997001524651797e+00,1.639076521768597194e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.064985007623258984e-01,7.276934557851959529e-01
2.174999999999999822e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.348781178661620173e+00,2.144562074071978408e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.348781178661620173e+00,1.503891014207707322e+00
2.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.866536316072427759e+00,2.294144880869640524e+00,0.000000000000000000e+00,2.899902237054320375e-01,3.222113596727023133e+00,2.983677190569222759e+00
2.275000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.232817702666564319e+00,2.650558060733111621e+00,1.849226553999846479e+00,1.954016058726503413e+00,5.547679661999539213e+00,4.265549251226310012e+00
2.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.541096385661517409e+00,1.853173775162861636e+00,7.082192771323034819e+00,6.905137952039962279e+00,7.082192771323034819e+00,5.813299899794324155e+00
2.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.162645750512968812e-01,1.018071750056996372e+01,1.313878152990222858e+01,5.090358750284981859e+00,6.385572254524150004e+00
2.425000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.170052643123733471e+00,5.642136872121709112e-01,1.681790798420893296e+01,1.475093284163358476e+01,1.030775005483773299e+01,7.036395695328703681e+00
2.475000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.041631172801264604e+00,4.270687808485187364e-01,1.145794290081390976e+01,1.164022835605412887e+01,5.728971450406954879e+00,6.614357947288032058e+00
2.525000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.200945876553971003e-01,8.006305843693137803e+00,7.600986610356171624e+00,6.505123498000675575e+00,5.954689971246768465e+00
2.575000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.736108490490722023e-02,6.254957884027099624e+00,4.917359198058228742e+00,6.736108490490722467e+00,5.196426549807126705e+00
2.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.481946457713633203e-02,1.851984702203895550e+00,2.847426479638491159e+00,1.388988526652921607e+00,4.366053935445682654e+00
2.675000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.917003320440317626e-01,2.675100996132095607e-02,2.675100996132095066e+00,1.961740730496872143e+00,3.566801328176127051e+00,3.000571617328168017e+00
2.725000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.718557008475387338e-01,1.718557008475387393e+00,1.160025980720885919e+00,1.288917756356540600e+00,2.839915456505577751e+00
2.775000000000000355e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.491467952848355427e-01,1.657186614275950598e+00,8.410222067450454642e-01,3.728669882120889234e+00,2.204058196987015439e+00
2.825000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.995228935221978528e-01,1.758950365748835343e-01,0.000000000000000000e+00,6.516111582205907915e-01,1.599045787044395706e+00,1.774940823619279850e+00
2.875000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.242214855862529665e-01,1.157933877093761277e+00,4.786126691987544479e-01,0.000000000000000000e+00,1.536192276944390978e+00
2.925000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.237371408764611491e+00,4.847638052323320346e-01,0.000000000000000000e+00,3.430636160105734467e-01,1.491580939176407439e+00,1.155975227861715249e+00
2.975000000000000089e+00,0.000000000000000000e+00,4.325598767307464732e-02,7.209331278845775293e-01,7.065144653268863317e-01,0.000000000000000000e+00,2.306986009230649060e-01,1.441866255769155059e+00,1.149888338975900259e+00
3.025000000000000355e+00,0.000000000000000000e+00,2.789192514802669651e-02,0.000000000000000000e+00,1.011082286615966774e+00,0.000000000000000000e+00,2.440543450452334617e-01,1.045947193051001145e+00,9.239200205283846223e-01
3.075000000000000178e+00,0.000000000000000000e+00,5.398452984057162951e-02,0.000000000000000000e+00,1.309124848633861360e+00,0.000000000000000000e+00,1.518314901766077696e-01,3.374033115035726671e-01,8.097679476085744010e-01
3.125000000000000000e+00,0.000000000000000000e+00,1.568126444494314375e-01,3.266930092696489041e+00,1.502787842640385341e+00,0.000000000000000000e+00,8.494018241010868608e-02,1.960158055617893469e+00,7.709955018763716694e-01
3.175000000000000266e+00,0.000000000000000000e+00,2.278689816032361537e-01,1.898908180026968040e+00,1.886248792160121424e+00,3.164846966711613585e-01,1.107696438349064505e-01,6.329693933423227170e-01,6.424639342424568467e-01
3.225000000000000089e+00,1.226989944918212228e+00,3.680969834754636572e-01,1.226989944918212228e+00,2.049073208013416192e+00,0.000000000000000000e+00,1.012266704557524960e-01,9.202424586886590596e-01,5.368081009017179328e-01
3.275000000000000355e+00,1.189811320217855295e+00,5.830075469067493854e-01,2.379622640435710590e+00,2.320132074424815727e+00,0.000000000000000000e+00,8.923584901633919986e-02,2.974528300544638237e-01,5.770584903056595882e-01
3.325000000000000178e+00,0.000000000000000000e+00,7.502932069526440095e-01,1.731445862198409680e+00,2.366309345004493636e+00,0.000000000000000000e+00,1.067724948355685821e-01,5.771486207328031526e-01,5.454054465924985662e-01
3.375000000000000000e+00,0.000000000000000000e+00,8.962798450522542204e-01,1.120349806315318331e+00,2.229496114567484533e+00,0.000000000000000000e+00,8.402623547364884704e-02,5.601749031576591653e-01,4.929539147787398434e-01
3.425000000000000266e+00,0.000000000000000000e+00,1.055241859589999054e+00,1.631817308644327502e+00,2.094165546093553321e+00,0.000000000000000000e+00,7.343177888899471428e-02,0.000000000000000000e+00,4.895451925932985393e-01
3.475000000000000089e+00,1.056798116246235875e+00,9.511183046216123982e-01,3.698793406861825339e+00,1.939224543311842019e+00,2.641995290615589687e-01,7.397586813723650012e-02,2.641995290615589687e-01,4.782011476014220164e-01
3.525000000000000355e+00,1.027031151668169162e+00,1.201626447451757507e+00,2.054062303336338324e+00,2.018116213027955297e+00,0.000000000000000000e+00,7.445975849594224649e-02,5.135155758340845811e-01,5.135155758340850252e-01
3.575000000000000178e+00,0.000000000000000000e+00,9.086389755034854909e-01,4.992521843425747896e-01,2.036948912117704680e+00,0.000000000000000000e+00,8.487287133823773200e-02,0.000000000000000000e+00,4.268606176129015051e-01
3.625000000000000000e+00,1.942299638851425758e+00,7.672083573463135409e-01,9.711498194257128791e-01,1.995712878919840616e+00,0.000000000000000000e+00,8.983135829687841079e-02,2.427874548564282198e-01,4.515846660329564943e-01
3.675000000000000266e+00,9.449041465122592909e-01,9.827003123727486855e-01,1.889808293024518582e+00,1.937053500350130797e+00,2.362260366280648227e-01,1.110262372151903792e-01,4.724520732561296454e-01,4.086710433665521891e-01
3.725000000000000089e+00,9.197082158743721259e-01,9.013140515568842659e-01,9.197082158743721259e-01,2.115328896511054602e+00,0.000000000000000000e+00,7.357665726994980226e-02,2.299270539685930315e-01,4.874453544134169092e-01
3.775000000000000355e+00,0.000000000000000000e+00,8.955067833766463536e-01,2.238766958441615884e+00,2.037277932181869922e+00,2.238766958441615884e-01,8.283437746233979215e-02,1.119383479220807942e+00,4.634247603974144813e-01
3.825000000000000178e+00,8.722481917482608482e-01,8.460807459958133991e-01,3.052868671118913024e+00,2.023615804855966260e+00,2.180620479370652121e-01,1.112116444479033517e-01,1.090310239685325921e+00,4.906396078583966647e-01
3.875000000000000000e+00,8.498840947069219443e-01,7.054037986067456245e-01,2.549652284120766055e+00,1.886742690249365362e+00,0.000000000000000000e+00,1.423555858634094895e-01,1.062355118383652375e+00,5.141798772976874377e-01
3.925000000000000266e+00,1.656738411048218396e+00,5.715747518116355286e-01,4.141846027620545989e-01,1.851405174346383742e+00,2.070923013810272995e-01,1.656738411048219173e-01,2.070923013810272995e-01,5.446527526321016666e-01
3.975000000000000089e+00,0.000000000000000000e+00,7.672780142080043442e-01,1.615322135174744211e+00,1.611283829836807513e+00,0.000000000000000000e+00,1.716279768623167334e-01,6.057458006905290793e-01,5.411329152835392398e-01
4.025000000000000355e+00,0.000000000000000000e+00,6.695618680698300906e-01,1.969299611970088071e+00,1.571501090352129593e+00,1.969299611970088126e-01,1.969299611970088404e-01,7.877198447880352505e-01,6.104828797107270111e-01
4.075000000000000178e+00,2.305524389399900453e+00,7.531379672039677509e-01,2.689778454299883936e+00,1.667662641665927703e+00,0.000000000000000000e+00,2.901118189994875696e-01,1.921270324499916859e-01,6.666808026014708899e-01
4.125000000000000000e+00,2.249972305576787512e+00,7.349909531550841146e-01,1.874976921313989742e+00,1.796227890618802059e+00,0.000000000000000000e+00,3.449957535217742510e-01,3.749953842627979372e-01,6.918664839648624998e-01
4.175000000000000711e+00,0.000000000000000000e+00,7.833841281111487698e-01,3.660673495846486158e+00,2.233010832466357343e+00,3.660673495846486492e-01,3.916920640555741628e-01,5.491010243769729460e-01,7.010189744546023727e-01
4.224999999999999645e+00,7.149088045620733967e-01,8.149960372007631904e-01,2.144726413686220301e+00,2.677333473084961390e+00,5.361816034215550753e-01,4.343070987714592324e-01,1.072363206843110151e+00,6.505670121514860460e-01
4.275000000000000355e+00,1.396567553009363971e+00,7.262151275648686122e-01,2.443993217766387005e+00,2.649986931835268233e+00,3.491418882523409928e-01,5.062557379658947365e-01,1.047425664757023034e+00,7.174865803585610546e-01
4.325000000000000178e+00,6.822319910243638263e-01,9.210131878828917706e-01,6.822319910243638263e-01,2.251365570380403636e+00,1.705579977560909510e+00,6.617650312936335100e-01,6.822319910243638263e-01,8.220895491843593916e-01
4.375000000000000000e+00,0.000000000000000000e+00,7.734037765217479654e-01,2.000182180659693998e+00,1.516804820333600201e+00,3.333636967766156478e-01,6.700610305209970807e-01,6.667273935532312956e-01,7.834046874250462089e-01
4.425000000000000711e+00,1.303490786272650137e+00,8.277166492831318223e-01,3.258726965681625343e-01,9.776180897044878249e-01,9.776180897044874918e-01,8.440102841115409982e-01,1.303490786272650137e+00,8.293460127659735281e-01
4.474999999999999645e+00,6.372627648672198886e-01,8.475594772734014182e-01,9.558941473008298884e-01,6.850574722322604337e-01,1.433841220951244777e+00,8.332210650638890437e-01,7.965784560840248885e-01,8.682705171315862058e-01
4.525000000000000355e+00,0.000000000000000000e+00,7.853045253827874994e-01,1.246515119655217996e+00,5.297689258534673540e-01,6.232575598276089979e-01,9.037234617500318201e-01,7.790719497845113306e-01,8.398395618677020336e-01
4.575000000000000178e+00,6.097090218785660154e-01,6.280002925349225107e-01,0.000000000000000000e+00,4.603303115183175476e-01,6.097090218785660154e-01,9.221848955913314327e-01,3.048545109392830077e-01,8.718839012863491833e-01
4.625000000000000000e+00,0.000000000000000000e+00,7.039850626428169056e-01,1.491493776785630443e+00,6.085294609285366585e-01,1.342344399107067376e+00,9.948263491160156402e-01,7.457468883928152215e-01,9.202516602767342180e-01
4.675000000000000711e+00,1.167808861289831857e+00,5.605482534191191801e-01,5.839044306449159283e-01,5.576287312658949613e-01,1.167808861289831857e+00,1.059786541620522549e+00,7.298805383061448548e-01,9.050518674996197444e-01
4.724999999999999645e+00,1.143224329254164839e+00,4.858703399330203121e-01,2.858060823135412098e-01,6.144830769741140841e-01,1.571933452724476599e+00,1.190382332835900447e+00,1.286127370410935278e+00,8.888569159951141829e-01
4.775000000000000355e+00,2.238816052413856283e+00,5.708980933655328771e-01,2.798520065517320354e-01,5.904877338241548701e-01,1.399260032758660177e+00,1.036851684274167518e+00,1.399260032758660177e-01,9.417020020465782792e-01
4.825000000000001066e+00,0.000000000000000000e+00,5.536457786286794747e-01,5.481641372561185666e-01,5.618682406875212809e-01,9.592872401982075470e-01,1.145663046865287749e+00,5.481641372561185666e-01,9.250269816197004280e-01
4.875000000000000000e+00,0.000000000000000000e+00,6.067845821330459799e-01,8.054662594686448074e-01,4.644855429602517960e-01,8.054662594686448074e-01,1.218938939329215820e+00,6.712218828905373025e-01,9.343408609836282297e-01
4.925000000000000711e+00,1.052259697153551166e+00,4.998233561479364928e-01,7.891947728651632632e-01,4.998233561479362708e-01,1.972986932162908325e+00,1.187738133162070886e+00,7.891947728651632632e-01,1.054890346396434309e+00
4.974999999999999645e+00,1.031215211779009211e+00,4.795150734772394840e-01,2.578038029447523027e-01,4.588907692416592243e-01,1.031215211779009211e+00,1.189764550590032499e+00,9.023133103066330873e-01,1.004145812469810384e+00
